Group,Puzzle Number,Heuristic,Solved,Empty Box Count,Expanded Node Count,Search Duration
PATTERNED,1,prioritizeColumnCompletion,True,0,219,64.25450195799931
PATTERNED,2,prioritizeColumnCompletion,False,1,356,138.36985058299615
PATTERNED,3,prioritizeColumnCompletion,True,0,263,133.85622212500311
PATTERNED,4,prioritizeColumnCompletion,True,0,224,68.8005170840188
PATTERNED,5,prioritizeColumnCompletion,True,0,174,34.67698120800196
DENSE_RANDOM,1,prioritizeColumnCompletion,False,1,308,79.39775425000698
DENSE_RANDOM,2,prioritizeColumnCompletion,True,0,178,42.7582391659962
DENSE_RANDOM,3,prioritizeColumnCompletion,True,0,146,15.819170541013591
DENSE_RANDOM,4,prioritizeColumnCompletion,False,1,251,19.565994040982332
DENSE_RANDOM,5,prioritizeColumnCompletion,True,0,160,21.655896874988684
PATTERNED,1,prioritizeColumnCompletion,True,0,219,67.92301604099339
PATTERNED,2,prioritizeColumnCompletion,True,0,257,139.4838739580009
PATTERNED,3,prioritizeColumnCompletion,True,0,261,134.39398991601774
PATTERNED,4,prioritizeColumnCompletion,True,0,221,64.46717162500136
PATTERNED,5,prioritizeColumnCompletion,True,0,176,34.337261707987636
DENSE_RANDOM,1,prioritizeColumnCompletion,False,1,308,79.25653812498786
DENSE_RANDOM,2,prioritizeColumnCompletion,True,0,178,42.68153187498683
DENSE_RANDOM,3,prioritizeColumnCompletion,True,0,146,15.761142542003654
DENSE_RANDOM,4,prioritizeColumnCompletion,False,1,251,19.558127374999458
DENSE_RANDOM,5,prioritizeColumnCompletion,True,0,160,21.458432958024787
PATTERNED,1,prioritizeColumnCompletion,True,0,225,68.61984383300296
PATTERNED,2,prioritizeColumnCompletion,True,0,254,138.17125445901183
PATTERNED,3,prioritizeColumnCompletion,False,2,346,84.87316641697544
PATTERNED,4,prioritizeColumnCompletion,True,0,227,70.75263383300626
PATTERNED,5,prioritizeColumnCompletion,True,0,173,33.79562066702056
DENSE_RANDOM,1,prioritizeColumnCompletion,False,1,308,79.29921691599884
DENSE_RANDOM,2,prioritizeColumnCompletion,True,0,179,43.79641754098702
DENSE_RANDOM,3,prioritizeColumnCompletion,True,0,146,15.724903499998618
DENSE_RANDOM,4,prioritizeColumnCompletion,False,1,251,19.406811374996323
DENSE_RANDOM,5,prioritizeColumnCompletion,True,0,160,21.2866702080064
PATTERNED,1,prioritizeColumnCompletion,True,0,227,70.43136066698935
PATTERNED,2,prioritizeColumnCompletion,True,0,253,138.48525604099268
PATTERNED,3,prioritizeColumnCompletion,True,0,259,130.21406687502167
PATTERNED,4,prioritizeColumnCompletion,True,0,222,66.1107515830081
PATTERNED,5,prioritizeColumnCompletion,True,0,175,34.478171374998055
DENSE_RANDOM,1,prioritizeColumnCompletion,False,1,308,79.20719737498439
DENSE_RANDOM,2,prioritizeColumnCompletion,True,0,178,42.48971066600643
DENSE_RANDOM,3,prioritizeColumnCompletion,True,0,146,15.753516750002746
DENSE_RANDOM,4,prioritizeColumnCompletion,False,1,251,19.554856082977494
DENSE_RANDOM,5,prioritizeColumnCompletion,True,0,160,21.546078375016805
PATTERNED,1,prioritizeColumnCompletion,True,0,231,70.800669749995
PATTERNED,2,prioritizeColumnCompletion,True,0,253,137.4090542079939
PATTERNED,3,prioritizeColumnCompletion,True,0,257,133.09524479100946
PATTERNED,4,prioritizeColumnCompletion,True,0,225,69.85239149999688
PATTERNED,5,prioritizeColumnCompletion,True,0,175,34.777581542002736
DENSE_RANDOM,1,prioritizeColumnCompletion,False,1,308,79.3384654999827
DENSE_RANDOM,2,prioritizeColumnCompletion,True,0,179,43.8744929159875
DENSE_RANDOM,3,prioritizeColumnCompletion,True,0,146,15.74455204201513
DENSE_RANDOM,4,prioritizeColumnCompletion,False,1,251,19.517531874997076
DENSE_RANDOM,5,prioritizeColumnCompletion,True,0,160,21.649353874992812
PATTERNED,1,prioritizeRowCompletion,True,0,233,81.44245854098699
PATTERNED,2,prioritizeRowCompletion,True,0,261,137.7091432500165
PATTERNED,3,prioritizeRowCompletion,False,2,345,91.7011999580136
PATTERNED,4,prioritizeRowCompletion,True,0,219,63.206184499984374
PATTERNED,5,prioritizeRowCompletion,True,0,177,37.503571667009965
DENSE_RANDOM,1,prioritizeRowCompletion,False,1,303,100.31819695798913
DENSE_RANDOM,2,prioritizeRowCompletion,True,0,165,35.51048704198911
DENSE_RANDOM,3,prioritizeRowCompletion,True,0,160,22.087638666998828
DENSE_RANDOM,4,prioritizeRowCompletion,False,1,254,18.404336166015128
